pais,zona,localidad,anio,semana,anio_objetivo,semana_objetivo,parasitos_totales,parasitos_totales_t1,prediccion_rf,error_rf,error_abs_rf
Chile,Magallanes,120128,2023,20,2023.0,21.0,3.03,3.69,3.1112300974025997,0.5787699025974002,0.5787699025974002
Chile,Magallanes,120128,2023,21,2023.0,22.0,3.69,4.050000000000001,3.7033359871031792,0.34666401289682147,0.34666401289682147
Chile,Magallanes,120128,2023,22,2023.0,23.0,4.050000000000001,3.49,3.9005525041278077,-0.4105525041278075,0.4105525041278075
Chile,Magallanes,120128,2023,23,2023.0,24.0,3.49,5.01,3.8130308906024517,1.196969109397548,1.196969109397548
Chile,Magallanes,120128,2023,24,2023.0,25.0,5.01,7.949999999999999,4.908388402396216,3.041611597603783,3.041611597603783
Chile,Magallanes,120128,2023,25,2023.0,26.0,7.949999999999999,7.15,8.380281369047614,-1.2302813690476135,1.2302813690476135
Chile,Magallanes,120128,2023,26,2023.0,27.0,7.15,12.81,6.999489126984111,5.81051087301589,5.81051087301589
Chile,Magallanes,120128,2023,27,2023.0,28.0,12.81,3.55,9.343651899801593,-5.793651899801593,5.793651899801593
Chile,Magallanes,120128,2023,28,2023.0,29.0,3.55,2.1,6.929876237824678,-4.829876237824678,4.829876237824678
Chile,Magallanes,120128,2023,29,2023.0,30.0,2.1,7.25,4.912046075937955,2.3379539240620453,2.3379539240620453
Chile,Magallanes,120128,2023,30,2023.0,31.0,7.25,6.529999999999999,6.9971817113095325,-0.4671817113095331,0.4671817113095331
Chile,Magallanes,120128,2023,31,2023.0,32.0,6.529999999999999,4.92,6.160256549873741,-1.2402565498737408,1.2402565498737408
Chile,Magallanes,120128,2023,32,2023.0,33.0,4.92,6.699999999999999,5.27400383928572,1.4259961607142797,1.4259961607142797
Chile,Magallanes,120128,2023,33,2023.0,34.0,6.699999999999999,6.05,6.649171741071435,-0.5991717410714354,0.5991717410714354
Chile,Magallanes,120128,2023,34,2023.0,35.0,6.05,3.85,6.218482594246032,-2.3684825942460317,2.3684825942460317
Chile,Magallanes,120128,2023,35,2023.0,36.0,3.85,6.66,5.811279002976198,0.8487209970238023,0.8487209970238023
Chile,Magallanes,120128,2023,36,2023.0,37.0,6.66,5.36,6.766392683531754,-1.4063926835317533,1.4063926835317533
Chile,Magallanes,120128,2023,37,2023.0,38.0,5.36,6.62,6.135366413690471,0.48463358630952946,0.48463358630952946
Chile,Magallanes,120128,2023,38,2023.0,39.0,6.62,1.29,6.088693373015869,-4.798693373015869,4.798693373015869
